workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,problem_date,action,cluster_id,cluster_name
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,2820,"FUEL INJECTOR CANNED FOR USE ON N7364H, CAN TAG #1638.",2013-12-12,FUEL INJECTOR S/N 70E18803 CANNED FROM ENGINE ASSY THAT WAS THEN CANNED ON PD #17. NEW INJECTOR WAS INSTALLED ON A/C AS PART OF NEW ENG ASSY INSTALLED ON PD #17.,c_21,engine failure/fire/time out
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,"ENGINE CANNED FOR N7364H, CAN TAG #1633.",2013-12-14,"INSTALLED OVERHAULED ENG S/N L2392851A ON AIRFRAME. TORQUED FWD MOUNT NUTS TO SPECS & SAFETIED. INSTALLED P-LEADS, OIL TEMP WIRING, RETARD BREAKERS WIRING.",c_34,oil leak/pressure issue
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7920,"OIL COOLER CANNED FOR USE ON N7364H, CAN TAG #1636.",2013-12-16,INSTALLED OIL COOLER S/N B08-6399-24.,c_32,oil cooler need maintenance
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,"ENGINE CANNED FOR N7364H, CAN TAG #1633.",2013-12-16,"STARTED TO INSTALL FUEL INJECTOR SERVO, EXHAUST ADAPTERS, AFT OIL COOLER, FWD OIL COOLER SHROUD, MANIFOLD PRESS FITTING & HOSE, CRANKCASE BREATHER.",c_20,engine crankcase/crankshaft/firewall near repair
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,"ENGINE CANNED FOR N7364H, CAN TAG #1633.",2013-12-17,COMPLETED INSTALLATION OF FUEL SERVO. THROTTLE & MIXTURE TRAVELS CK GOOD. BEGAN INSTALLATION OF FUEL LINES.,c_31,mixture fail/need adjust
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,"ENGINE CANNED FOR N7364H, CAN TAG #1633.",2013-12-18,"INSTALLED NEW OIL LINES, ROUTED IGNTION LEADS, INSTALLED NEW CHT PROBE & FINISHED RECONNECTING FWD OIL COOLER DUCT TO ENG BAFFLING - SEE PD #44 FOR FUEL INJ LINE AD COMPLIANCE. REINSTALLED OIL FILLER TUBE.",c_16,cylinder head/exhaust gas temperature issue
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7920,"OIL COOLER CANNED FOR USE ON N7364H, CAN TAG #1637.",2013-12-18,INSTALLED FWD OIL COOLER S/N I08-6757-10.,c_32,oil cooler need maintenance
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,9610,"ALTERNATOR CANNED FOR USE ON N7364H, CAN TAG #1634.",2013-12-18,ENG WAS CANNED ON PD #17 - NEW ENGINE CAME W/ ALTERNATOR INSTALLED.,c_21,engine failure/fire/time out
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7900,"OIL LINE CANNED FOR USE ON N7364H, CAN TAG #1641 (P/N 156115E0410D180).",2013-12-18,NEW OIL LINE WAS INSTALLED ON PD #17 FOR ENGINE INSTALL.,c_35,oil return line issue
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7900,"OIL LINE CANNED FOR USE ON N7364H, CAN TAG #1643 (P/N 156005-10D0460).",2013-12-18,FLUID LINE WAS INSTALLED ON PD #17 AS PART OF ENGINE INSTALL.,c_35,oil return line issue
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,2820,"FLUID LINE CANNED FOR USE ON N7364HD, CAN TAG #1647 (P/N 156001-8D0124).",2013-12-18,FLUID LINE AS INSTALLED ON PD #17 AS PART OF ENGINE INSTALL.,c_18,drain line/tube damage
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,2820,"FLUID LINE CANNED FOR USE ON N7364HD, CAN TAG #1648 (P/N 156001-4S0096).",2013-12-18,FLUID LINE AS INSTALLED ON PD #17 AS PART OF ENGINE INSTALL.,c_18,drain line/tube damage
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,2820,"FLUID LINE CANNED FOR USE ON N7364HD, CAN TAG #1649 (P/N 156001-4S0096).",2013-12-18,FLUID LINE AS INSTALLED ON PD #17 AS PART OF ENGINE INSTALL.,c_18,drain line/tube damage
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7900,"OIL LINE CANNED FOR USE ON N7364H, CAN TAG #1642 (P/N 156062E0380D340).",2013-12-18,FLUID LINE WAS INSTALLED ON PD #17 AS PART OF ENGINE INSTALL.,c_35,oil return line issue
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7900,"OIL LINE CANNED FOR USE ON N7364H, CAN TAG #1645 (P/N 156062F0376D270).",2013-12-18,FLUID LINE WAS INSTALLED ON PD #17 AS PART OF ENGINE INSTALL.,c_35,oil return line issue
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,2820,"FLUID LINE CANNED FOR USE ON N7364HD, CAN TAG # 1650 (P/N 156003-8D0070).",2013-12-18,FLUID LINE AS INSTALLED ON PD #17 AS PART OF ENGINE INSTALL.,c_18,drain line/tube damage
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,2820,"FLUID LINE CANNED FOR USE ON N7364HD, CAN TAG #1646 (P/N 156115E0260D290).",2013-12-18,FLUID LINE AS INSTALLED ON PD #17 AS PART OF ENGINE INSTALL.,c_18,drain line/tube damage
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,9530,"MANIFOLD LINE CANNED FUR USE ON N7364H, CAN TAG #1644 (P/N 156001-4S0170).",2013-12-18,FLUID LINE WAS INSTALLED ON PD #17 AS PART OF ENGINE INSTALL.,c_18,drain line/tube damage
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,"ENGINE CANNED FOR N7364H, CAN TAG #1633.",2013-12-18,COMPLETED INSTALLATION OF FUEL LINES. ROUTED IGNITION LINES. COMPLETED INSTALLATION OF MANIFOLD & OIL PSI LINE.,c_35,oil return line issue
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,"ENGINE CANNED FOR N7364H, CAN TAG #1633.",2013-12-23,INSTALLED OIL QUICK DRAIN & SERVICED W/ MINERAL OIL.,c_34,oil leak/pressure issue
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,"ENGINE CANNED FOR N7364H, CAN TAG #1633.",2014-01-04,"INSTALLED EXHAUST CROSSOVER STACKS, SHORT SHAFT ALIGNMENT SET ON PD #7.",c_21,engine failure/fire/time out
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,6530,BLUE T/R REPAIRED BLADE NEEDS TO BE INSTALLED.,2014-01-13,INSTALLED SAME BLADE S/N S4439 ONTO T/R HUB. TORQUED & SAFETIED PITCH LINK & BOLT.,c_2,baffle bolt miss/damage
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,6560,YELLOW T/R REPAIRED BLADE NEEDS TO BE INSTALLED.,2014-01-13,INSTALLED SAME BLADE S/N S4765 ONTO T/R HUB. TORQUED & SAFETIED PITCH LINK & BOLT.,c_2,baffle bolt miss/damage
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,"ENGINE CANNED FOR N7364H, CAN TAG #1633.",2014-01-14,REATTACHED ALT & STARTER WIRING.,c_21,engine failure/fire/time out
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,2810,FUEL TANKS NEED TO BE REMOVED TO FACILITATE OTHER MAINTENANCE.,2014-01-14,REINSTALLED FUEL TANKS & VERIFIED C/W SCHWEIZER SB C1B-033.,c_32,oil cooler need maintenance
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,"ENGINE CANNED FOR N7364H, CAN TAG #1633.",2014-01-15,"INSTALLED R/H ENG GROUND STRAP, PRE-OILED ENGINE. CK'ED MAG TIMING, CLEANED & INSTALLED ALL SPARK PLUGS. FINISHED SECURING WIRING. RAN ENG, OPS & LEAK CK GOOD. SEE PD #1 ON W/O #1130034 FOR ENGINE BREAK-IN.",c_30,magneto failure
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,ENGINE AD SEARCH DUE.,2014-01-15,UPDATED APPLICABLE AD'S ON AIMS.,c_21,engine failure/fire/time out
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,2820,"BOOST PUMP ASSY REMOVED SERVICEABLE FOR N21763 W/O #1120947, PD #2.",2014-01-15,LEAK CK GOOD.,c_28,intake gasket leak/damage
