workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1117738,2012-11-26 12:58:00,2012-11-26 13:38:00,N557ND,6805.6,7320.0,ENGINE RUNS ROUGH AT LOW RPM.,2012-11-26,"ADJUSTED IDLE & MIXTURE FOR SEASONAL CONDITIONS, NO DEFECTS NOTED.",c_31,mixture adjust mixture control
1117772,2012-11-27 07:02:00,2012-11-28 10:29:00,N525ND,7412.2,7100.0,ENGINE CHANGE DUE.,2012-11-28,"COMPLETED INSTALLATION OF AIRWORTHY COMPONENTS. ROUTED & SECURED IGNITION LEADS, AIR DUCTS & FUEL/OIL LINES. RIGGED THROTTLE & MIXTURE TO SERVO. PREOILED, OPS & LK ENGINE NOTING NO DISCREPS. SEE W/O #1117812 FOR MX FLIGHT.",c_31,mixture adjust mixture control
1117846,2012-11-29 09:54:00,2012-12-07 13:36:00,N605ND,27.900000000000002,400.0,"AD 2001-06-17, FUEL MIXTURE DUE. EFF DATE 4/20/01.",2012-12-06,CHECKED IDLE SPEED & MIXTURE SETTING IAW AD INSTRUCTIONS. CHECKS GOOD. NO FURTHER ACTION REQUIRED.,c_31,mixture adjust mixture control
1117849,2012-11-29 10:25:00,2012-12-01 14:06:00,N563ND,7570.0,7310.0,ENG RUNS ROUGH AT 1700 - 2000 RPM.,2012-11-30,RAN ENGINE & ADJUSTED IDLE MIXTURE - PROBLEM PERSISTS.,c_31,mixture adjust mixture control
1117849,2012-11-29 10:25:00,2012-12-01 14:06:00,N563ND,7570.0,400.0,AD 2001-06-17 DUE. EFF DATE 4/20/01.,2012-11-30,"C/W AD, ADJUSTED MIXTURE & IDLE TO SPECS. NEXT DUE @ 3378.0 TACH.",c_31,mixture adjust mixture control
1117849,2012-11-29 10:25:00,2012-12-01 14:06:00,N563ND,7570.0,7310.0,ENG RUNS ROUGH AT 1700 - 2000 RPM.,2012-11-30,"REMOVED & REPLACED FUEL SERVO W/ S/N 70192903 (CAN TAG #1564). RAN A/C, ADJUSTED MIXTURE & IDLE TO SPECS. ENGINE ROUGHNESS NO LONGER PRESENT. OPS & LEAK CHECK GOOD.",c_31,mixture adjust mixture control
1117857,2012-11-29 13:43:00,2012-11-29 15:31:00,N579ND,6065.4,7610.0,"DURING RUN UP, ENGINE DIED DURING IDLE CK.",2012-11-29,"RAN A/C, ADJUSTED IDLE RPM & MIXTURE, OPS CK GOOD.",c_31,mixture adjust mixture control
1117895,2012-11-30 10:35:00,2012-11-30 15:18:00,N536ND,6944.400000000001,7200.0,NOTICE ENGINE HAD AUDIBLE FLUCTUATIONS ON TAXI & BEFORE TAXI CHECKLIST. NO INCREASE DURING NORMAL LEANING PROCEDURES. ENGINE FLUCTUATED -/-50 RPM @ 1800 RPM. LEANED MIXTRE & NOTHING CHANGED.,2012-11-30,RAN ENGINE & ADJUSTED IDLE SPEED & MIXTURE. OPS CHECK GOOD.,c_31,mixture adjust mixture control
1117951,2012-12-03 14:30:00,2012-12-04 11:02:00,N548ND,5402.700000000001,7610.0,MIXTURE CONTROL @ FUEL SERVO ON I/B SIDE OF ARM.,2012-12-03,DISCONNECTED & REROUTED MIXTURE CONTROL CABLE TO O/B SIDE OF CONTROL ARM. OPS CHECK GOOD.,c_31,mixture adjust mixture control
1117954,2012-12-04 07:03:00,2012-12-04 13:27:00,N563ND,7576.6,7300.0,IDLE MIXTURE RICH.,2012-12-04,OPS CHECK GOOD.,c_31,mixture adjust mixture control
1117954,2012-12-04 07:03:00,2012-12-04 13:27:00,N563ND,7576.6,7300.0,IDLE MIXTURE RICH.,2012-12-04,ADJUSTED IDLE MIXTURE.,c_31,mixture adjust mixture control
